PDF_Filename,fake code category,random code,final_fake_code,fake_grade,maker pn
1N4728A_SER.pdf,0402,696,0402-000696,A,1N4728A
BZB784_SER.pdf,0402,4580,0402-004580,A,BZB784
BZX38450-Q_SER.pdf,0402,3473,0402-003473,A,BZX38450-B1V8-Q
BZX58550_SER.pdf,0402,4645,0402-004645,C,BZX58550-B1V8
1PS10SB82.pdf,0404,3375,0404-003375,A,1PS10SB82
1PS66SB82_1PS88SB82.pdf,0404,1627,0404-001627,F,1PS66SB82
1PS70SB20.pdf,0404,5087,0404-005087,A,1PS70SB20
PMEG2010EPK.pdf,0404,1329,0404-001329,B,PMEG2010EPK
bzx84wc15v.pdf,0406,2797,0406-002797,F,BZX84WC15V
bzx84wc27v.pdf,0406,3368,0406-003368,F,BZX84WC27V
bzx84wc39v-q1.pdf,0406,3762,0406-003762,B,BZX84WC39V-Q1
bzx84wc8v2.pdf,0406,9337,0406-009337,B,BZX84WC8V2
tsd12.pdf,0406,4849,0406-004849,A,TSD12
tsd24.pdf,0406,4770,0406-004770,A,TSD24
tsm36a-q1.pdf,0406,6134,0406-006134,A,TSM36A-Q1
tsm36ca.pdf,0406,6192,0406-006192,F,TSM36CA
74ABT08.pdf,0801,262,0801-000262,B,74ABT08D
74AHC_AHCT02.pdf,0801,3182,0801-003182,D,74AHC02
74AHC_AHCT1G32.pdf,0801,5053,0801-005053,F,74AHC1G32
74AXP1G08.pdf,0801,3101,0801-003101,A,74AXP1G08
74HC_HCT1G02.pdf,0801,5970,0801-005970,D,74HC1G02
74HC_HCT1G32.pdf,0801,4340,0801-004340,F,74HC1G32
74HC20.pdf,0801,5966,0801-005966,D,74HC20D
74LVC1G08.pdf,0801,6035,0801-006035,C,74LVC1G08GW
74LVC1G27.pdf,0801,9750,0801-009750,B,74LVC1G27GW
74LVC32A.pdf,0801,1735,0801-001735,A,74LVC32AD
HEF4093B.pdf,0801,991,0801-000991,A,HEF4093BT
sn74act08-q1.pdf,0801,7343,0801-007343,D,SN74ACT08-Q1
sn74act32-q1.pdf,0801,5483,0801-005483,E,SN74ACT32-Q1
sn74ahc1g09-q1.pdf,0801,8200,0801-008200,A,SN74AHC1G09-Q1
sn74auc2g32.pdf,0801,5876,0801-005876,E,SN74AUC2G32
sn74hcs4075.pdf,0801,8071,0801-008071,B,SN74HCS4075DR
sn74lvc11a.pdf,0801,1719,0801-001719,C,SN74LVC11A
sn74lvc7032a-q1.pdf,0801,8157,0801-008157,B,SN74LVC7032A-Q1
opa1633.pdf,1001,8855,1001-008855,D,OPA1633
opa1637.pdf,1001,9656,1001-009656,A,OPA1637
opa376.pdf,1001,4004,1001-004004,F,OPA376
opa891.pdf,1001,1531,1001-001531,C,OPA891
DS8306-00QV.pdf,1003,3429,1003-003429,F,DS8306
DS8577A-02.pdf,1003,1294,1003-001294,B,DS8577A
DSQ4554 -QT-00.pdf,1003,3076,1003-003076,C,DSQ4554
JW1120_Datasheet_FirstPage.pdf,1003,5494,1003-005494,F,JW1120
JW1123_Datasheet_FirstPage.pdf,1003,4749,1003-004749,F,JW1123
JW1130H_Datasheet_FirstPage.pdf,1003,7298,1003-007298,F,JW1130H
